ADP,Player,Team,Pos,CMP,ATT,Pass YDS,Pass TDS,INT,CAR,Rush YDS,Rush TDS,REC,Rec YDS,Rec TDS,TAR,FPTS,Avg
120.4,Ravens D/ST,BAL,DEF,,,,,,,,,,,,,119.1,7
146.7,Patriots D/ST,NE,DEF,,,,,,,,,,,,,118,6.9
134.4,Lions D/ST,DET,DEF,,,,,,,,,,,,,117.6,6.9
127.5,Eagles D/ST,PHI,DEF,,,,,,,,,,,,,100.2,5.9
150.9,Bills D/ST,BUF,DEF,,,,,,,,,,,,,104.9,6.2
163.5,Colts D/ST,IND,DEF,,,,,,,,,,,,,108.5,6.4
164.6,Jets D/ST,NYJ,DEF,,,,,,,,,,,,,96,5.6
165.7,Giants D/ST,NYG,DEF,,,,,,,,,,,,,108.5,6.4
167.3,Buccaneers D/ST,TB,DEF,,,,,,,,,,,,,104.3,6.1
166.5,Cardinals D/ST,ARI,DEF,,,,,,,,,,,,,100,5.9
166.8,Packers D/ST,GB,DEF,,,,,,,,,,,,,84.3,5
166,Chiefs D/ST,KC,DEF,,,,,,,,,,,,,95.4,5.6
168.7,Bears D/ST,CHI,DEF,,,,,,,,,,,,,90.9,5.3
169,Rams D/ST,LAR,DEF,,,,,,,,,,,,,87,5.1
165.6,49ers D/ST,SF,DEF,,,,,,,,,,,,,77.8,4.6
169.6,Dolphins D/ST,MIA,DEF,,,,,,,,,,,,,77.9,4.6
169.2,Chargers D/ST,LAC,DEF,,,,,,,,,,,,,69.3,4.1
169.6,Jaguars D/ST,JAX,DEF,,,,,,,,,,,,,85.6,5
166.6,Cowboys D/ST,DAL,DEF,,,,,,,,,,,,,81.2,4.8
169.3,Browns D/ST,CLE,DEF,,,,,,,,,,,,,70.2,4.1
169.8,Titans D/ST,TEN,DEF,,,,,,,,,,,,,72.1,4.2
169.5,Falcons D/ST,ATL,DEF,,,,,,,,,,,,,70.3,4.1
169.7,Saints D/ST,NO,DEF,,,,,,,,,,,,,62.3,3.7
168.9,Commanders D/ST,WAS,DEF,,,,,,,,,,,,,59.6,3.5
169.6,Raiders D/ST,LV,DEF,,,,,,,,,,,,,52.3,3.1
169.4,Bengals D/ST,CIN,DEF,,,,,,,,,,,,,59.5,3.5
169.5,Panthers D/ST,CAR,DEF,,,,,,,,,,,,,49.6,2.9
